DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/18/2016,5:25,,,,,,,,3686      BAINBRIDGE AVENUE             ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,3465845,PASSENGER VEHICLE,PASSENGER VEHICLE,OTHER,,
06/18/2016,5:20,BRONX,10456,40.824066,-73.908714,"(40.824066, -73.908714)",EAST 163 STREET                 ,3 AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3463614,PASSENGER VEHICLE,,,,
06/18/2016,5:11,QUEENS,11428,40.715145,-73.74935,"(40.715145, -73.74935)",211 STREET                      ,JAMAICA AVENUE,,4,0,0,0,0,0,4,0,Alcohol Involvement,Unspecified,,,,3463324,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,5:10,MANHATTAN,10026,40.800663,-73.946465,"(40.800663, -73.946465)",EAST 116 STREET                 ,5 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3466551,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,5:10,BROOKLYN,11236,40.651867,-73.9127,"(40.651867, -73.9127)",AVENUE B                        ,EAST 95 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3484604,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/18/2016,5:05,MANHATTAN,10013,40.7171,-73.9986,"(40.7171, -73.9986)",CANAL STREET                    ,MULBERRY STREET,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Turning Improperly,,,,3468499,PASSENGER VEHICLE,,,,
06/18/2016,5:00,,,40.76479,-73.98429,"(40.76479, -73.98429)",WEST 54 STREET                  ,,,0,0,0,0,0,0,0,0,Pavement Defective,,,,,3465584,PASSENGER VEHICLE,,,,
06/18/2016,5:00,MANHATTAN,10009,40.73201,-73.98203,"(40.73201, -73.98203)",EAST 15 STREET                  ,1 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3463585,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,4:48,MANHATTAN,10032,40.83449,-73.940056,"(40.83449, -73.940056)",SAINT NICHOLAS AVENUE           ,WEST 160 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3464127,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,4:45,BROOKLYN,11213,40.663998,-73.94153,"(40.663998, -73.94153)",,,621       EMPIRE BOULEVARD              ,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Passing or Lane Usage Improper,,,,3464470,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
06/18/2016,4:40,,,40.822697,-73.87001,"(40.822697, -73.87001)",FTELEY AVENUE                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3464212,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,4:30,MANHATTAN,10034,40.86131,-73.92124,"(40.86131, -73.92124)",WEST 202 STREET                 ,10 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3464153,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,4:16,BROOKLYN,11233,40.67619,-73.9081,"(40.67619, -73.9081)",EASTERN PARKWAY                 ,ATLANTIC AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3533003,4 dr sedan,4 dr sedan,,,
06/18/2016,3:50,,,40.68373,-73.75127,"(40.68373, -73.75127)",SPRINGFIELD BOULEVARD           ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3463317,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,3:46,,,40.699703,-73.98047,"(40.699703, -73.98047)",SANDS STREET                    ,,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3497439,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,3:40,QUEENS,11105,40.7688877,-73.9069078,"(40.7688877, -73.9069078)",SOUND STREET                    ,ASTORIA BLVD NORTH              ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3463912,BICYCLE,PASSENGER VEHICLE,,,
06/18/2016,3:37,MANHATTAN,10023,40.76974,-73.982124,"(40.76974, -73.982124)",BROADWAY                        ,WEST 61 STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3467664,OTHER,,,,
06/18/2016,3:35,MANHATTAN,10019,40.761036,-73.98702,"(40.761036, -73.98702)",WEST 48 STREET                  ,8 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3465591,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,3:30,,,40.74662,-73.89359,"(40.74662, -73.89359)",ROOSEVELT AVENUE                ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3464773,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,3:30,BROOKLYN,11220,40.642445,-74.00592,"(40.642445, -74.00592)",50 STREET                       ,7 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3463740,AMBULANCE,,,,
06/18/2016,3:30,BROOKLYN,11212,,,,rockaway ave                    ,east new york ave,,0,0,0,0,0,0,0,0,Unspecified,,,,,3510660,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/18/2016,3:25,,,40.885952,-73.8279,"(40.885952, -73.8279)",CONNER STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3464269,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
